dataset,instancia,negocios,C,archivo
DP,DP-1,1,1,..\instances\DP\DP-1.txt
DP,DP-1,1,11,..\instances\DP\DP-1.txt
DP,DP-1,1,21,..\instances\DP\DP-1.txt
DP,DP-1,1,31,..\instances\DP\DP-1.txt
DP,DP-1,1,41,..\instances\DP\DP-1.txt
DP,DP-1,1,51,..\instances\DP\DP-1.txt
DP,DP-1,1,61,..\instances\DP\DP-1.txt
DP,DP-1,1,71,..\instances\DP\DP-1.txt
DP,DP-1,1,81,..\instances\DP\DP-1.txt
DP,DP-1,1,91,..\instances\DP\DP-1.txt
DP,DP-1,1,101,..\instances\DP\DP-1.txt
DP,DP-1,1,111,..\instances\DP\DP-1.txt
DP,DP-1,1,121,..\instances\DP\DP-1.txt
DP,DP-1,1,131,..\instances\DP\DP-1.txt
DP,DP-1,1,141,..\instances\DP\DP-1.txt
DP,DP-1,1,151,..\instances\DP\DP-1.txt
DP,DP-1,1,161,..\instances\DP\DP-1.txt
DP,DP-1,1,171,..\instances\DP\DP-1.txt
DP,DP-1,1,181,..\instances\DP\DP-1.txt
DP,DP-1,1,191,..\instances\DP\DP-1.txt
DP,DP-1,1,201,..\instances\DP\DP-1.txt
DP,DP-1,1,211,..\instances\DP\DP-1.txt
DP,DP-1,1,221,..\instances\DP\DP-1.txt
DP,DP-1,1,231,..\instances\DP\DP-1.txt
DP,DP-1,1,241,..\instances\DP\DP-1.txt
DP,DP-1,1,251,..\instances\DP\DP-1.txt
DP,DP-1,1,261,..\instances\DP\DP-1.txt
DP,DP-1,1,271,..\instances\DP\DP-1.txt
DP,DP-1,1,281,..\instances\DP\DP-1.txt
DP,DP-1,1,291,..\instances\DP\DP-1.txt
DP,DP-1,1,301,..\instances\DP\DP-1.txt
DP,DP-1,1,311,..\instances\DP\DP-1.txt
DP,DP-1,1,321,..\instances\DP\DP-1.txt
DP,DP-1,1,331,..\instances\DP\DP-1.txt
DP,DP-1,1,341,..\instances\DP\DP-1.txt
DP,DP-1,1,351,..\instances\DP\DP-1.txt
DP,DP-1,1,361,..\instances\DP\DP-1.txt
DP,DP-1,1,371,..\instances\DP\DP-1.txt
DP,DP-1,1,381,..\instances\DP\DP-1.txt
DP,DP-1,1,391,..\instances\DP\DP-1.txt
DP,DP-1,1,401,..\instances\DP\DP-1.txt
DP,DP-1,1,411,..\instances\DP\DP-1.txt
DP,DP-1,1,421,..\instances\DP\DP-1.txt
DP,DP-1,1,431,..\instances\DP\DP-1.txt
DP,DP-1,1,441,..\instances\DP\DP-1.txt
DP,DP-1,1,451,..\instances\DP\DP-1.txt
DP,DP-1,1,461,..\instances\DP\DP-1.txt
DP,DP-1,1,471,..\instances\DP\DP-1.txt
DP,DP-1,1,481,..\instances\DP\DP-1.txt
DP,DP-1,1,491,..\instances\DP\DP-1.txt
DP,DP-1,1,501,..\instances\DP\DP-1.txt
DP,DP-1,1,511,..\instances\DP\DP-1.txt
DP,DP-1,1,521,..\instances\DP\DP-1.txt
DP,DP-1,1,531,..\instances\DP\DP-1.txt
DP,DP-1,1,541,..\instances\DP\DP-1.txt
DP,DP-1,1,551,..\instances\DP\DP-1.txt
DP,DP-1,1,561,..\instances\DP\DP-1.txt
DP,DP-1,1,571,..\instances\DP\DP-1.txt
DP,DP-1,1,581,..\instances\DP\DP-1.txt
DP,DP-1,1,591,..\instances\DP\DP-1.txt
DP,DP-1,1,601,..\instances\DP\DP-1.txt
DP,DP-1,1,611,..\instances\DP\DP-1.txt
DP,DP-1,1,621,..\instances\DP\DP-1.txt
DP,DP-1,1,631,..\instances\DP\DP-1.txt
DP,DP-1,1,641,..\instances\DP\DP-1.txt
DP,DP-1,1,651,..\instances\DP\DP-1.txt
DP,DP-1,1,661,..\instances\DP\DP-1.txt
