dataset,instancia,negocios,C,archivo
tolerancia-alta,T-B-1,1,309,..\instances\tolerancia-alta\T-B-1.txt
tolerancia-alta,T-B-2,2,472,..\instances\tolerancia-alta\T-B-2.txt
tolerancia-alta,T-B-3,3,803,..\instances\tolerancia-alta\T-B-3.txt
tolerancia-alta,T-B-4,4,1232,..\instances\tolerancia-alta\T-B-4.txt
tolerancia-alta,T-B-5,5,1447,..\instances\tolerancia-alta\T-B-5.txt
tolerancia-alta,T-B-6,6,1351,..\instances\tolerancia-alta\T-B-6.txt
tolerancia-alta,T-B-7,7,1732,..\instances\tolerancia-alta\T-B-7.txt
tolerancia-alta,T-B-8,8,1856,..\instances\tolerancia-alta\T-B-8.txt
tolerancia-alta,T-B-9,9,2213,..\instances\tolerancia-alta\T-B-9.txt
tolerancia-alta,T-B-10,10,2656,..\instances\tolerancia-alta\T-B-10.txt
tolerancia-alta,T-B-11,11,2342,..\instances\tolerancia-alta\T-B-11.txt
tolerancia-alta,T-B-12,12,3355,..\instances\tolerancia-alta\T-B-12.txt
tolerancia-alta,T-B-13,13,3684,..\instances\tolerancia-alta\T-B-13.txt
tolerancia-alta,T-B-14,14,3216,..\instances\tolerancia-alta\T-B-14.txt
tolerancia-alta,T-B-15,15,4004,..\instances\tolerancia-alta\T-B-15.txt
tolerancia-alta,T-B-16,16,3885,..\instances\tolerancia-alta\T-B-16.txt
tolerancia-alta,T-B-17,17,4120,..\instances\tolerancia-alta\T-B-17.txt
tolerancia-alta,T-B-18,18,4490,..\instances\tolerancia-alta\T-B-18.txt
tolerancia-alta,T-B-19,19,4221,..\instances\tolerancia-alta\T-B-19.txt
tolerancia-alta,T-B-20,20,5144,..\instances\tolerancia-alta\T-B-20.txt
tolerancia-alta,T-B-21,21,5604,..\instances\tolerancia-alta\T-B-21.txt
tolerancia-alta,T-B-22,22,4550,..\instances\tolerancia-alta\T-B-22.txt
tolerancia-alta,T-B-23,23,5385,..\instances\tolerancia-alta\T-B-23.txt
tolerancia-alta,T-B-24,24,5146,..\instances\tolerancia-alta\T-B-24.txt
tolerancia-alta,T-B-25,25,6297,..\instances\tolerancia-alta\T-B-25.txt
tolerancia-alta,T-B-26,26,6796,..\instances\tolerancia-alta\T-B-26.txt
tolerancia-alta,T-B-27,27,7136,..\instances\tolerancia-alta\T-B-27.txt
tolerancia-alta,T-B-28,28,6236,..\instances\tolerancia-alta\T-B-28.txt
tolerancia-alta,T-B-29,29,8892,..\instances\tolerancia-alta\T-B-29.txt
tolerancia-alta,T-B-30,30,7017,..\instances\tolerancia-alta\T-B-30.txt
tolerancia-alta,T-B-31,31,7591,..\instances\tolerancia-alta\T-B-31.txt
tolerancia-alta,T-B-32,32,7648,..\instances\tolerancia-alta\T-B-32.txt
tolerancia-alta,T-B-33,33,8607,..\instances\tolerancia-alta\T-B-33.txt
tolerancia-alta,T-B-34,34,8205,..\instances\tolerancia-alta\T-B-34.txt
tolerancia-alta,T-B-35,35,8497,..\instances\tolerancia-alta\T-B-35.txt
tolerancia-alta,T-B-36,36,8212,..\instances\tolerancia-alta\T-B-36.txt
tolerancia-alta,T-B-37,37,9801,..\instances\tolerancia-alta\T-B-37.txt
tolerancia-alta,T-B-38,38,9024,..\instances\tolerancia-alta\T-B-38.txt
tolerancia-alta,T-B-39,39,11369,..\instances\tolerancia-alta\T-B-39.txt
tolerancia-alta,T-B-40,40,9865,..\instances\tolerancia-alta\T-B-40.txt
tolerancia-alta,T-B-41,41,10121,..\instances\tolerancia-alta\T-B-41.txt
tolerancia-alta,T-B-42,42,10212,..\instances\tolerancia-alta\T-B-42.txt
tolerancia-alta,T-B-43,43,10060,..\instances\tolerancia-alta\T-B-43.txt
tolerancia-alta,T-B-44,44,12415,..\instances\tolerancia-alta\T-B-44.txt
tolerancia-alta,T-B-45,45,11732,..\instances\tolerancia-alta\T-B-45.txt
tolerancia-alta,T-B-46,46,10918,..\instances\tolerancia-alta\T-B-46.txt
tolerancia-alta,T-B-47,47,12522,..\instances\tolerancia-alta\T-B-47.txt
tolerancia-alta,T-B-48,48,12022,..\instances\tolerancia-alta\T-B-48.txt
tolerancia-alta,T-B-49,49,12580,..\instances\tolerancia-alta\T-B-49.txt
tolerancia-alta,T-B-50,50,12177,..\instances\tolerancia-alta\T-B-50.txt
tolerancia-alta,T-B-51,51,14168,..\instances\tolerancia-alta\T-B-51.txt
tolerancia-alta,T-B-52,52,14038,..\instances\tolerancia-alta\T-B-52.txt
tolerancia-alta,T-B-53,53,13129,..\instances\tolerancia-alta\T-B-53.txt
tolerancia-alta,T-B-54,54,13294,..\instances\tolerancia-alta\T-B-54.txt
tolerancia-alta,T-B-55,55,12275,..\instances\tolerancia-alta\T-B-55.txt
tolerancia-alta,T-B-56,56,12935,..\instances\tolerancia-alta\T-B-56.txt
tolerancia-alta,T-B-57,57,16198,..\instances\tolerancia-alta\T-B-57.txt
tolerancia-alta,T-B-58,58,14990,..\instances\tolerancia-alta\T-B-58.txt
tolerancia-alta,T-B-59,59,14870,..\instances\tolerancia-alta\T-B-59.txt
tolerancia-alta,T-B-60,60,15646,..\instances\tolerancia-alta\T-B-60.txt
tolerancia-alta,T-B-61,61,15488,..\instances\tolerancia-alta\T-B-61.txt
tolerancia-alta,T-B-62,62,14028,..\instances\tolerancia-alta\T-B-62.txt
tolerancia-alta,T-B-63,63,16205,..\instances\tolerancia-alta\T-B-63.txt
tolerancia-alta,T-B-64,64,17669,..\instances\tolerancia-alta\T-B-64.txt
tolerancia-alta,T-B-65,65,16423,..\instances\tolerancia-alta\T-B-65.txt
tolerancia-alta,T-B-66,66,17490,..\instances\tolerancia-alta\T-B-66.txt
tolerancia-alta,T-B-67,67,18483,..\instances\tolerancia-alta\T-B-67.txt
tolerancia-alta,T-B-68,68,16514,..\instances\tolerancia-alta\T-B-68.txt
tolerancia-alta,T-B-69,69,17089,..\instances\tolerancia-alta\T-B-69.txt
tolerancia-alta,T-B-70,70,18112,..\instances\tolerancia-alta\T-B-70.txt
tolerancia-alta,T-B-71,71,17438,..\instances\tolerancia-alta\T-B-71.txt
tolerancia-alta,T-B-72,72,16964,..\instances\tolerancia-alta\T-B-72.txt
tolerancia-alta,T-B-73,73,18982,..\instances\tolerancia-alta\T-B-73.txt
tolerancia-alta,T-B-74,74,21413,..\instances\tolerancia-alta\T-B-74.txt
tolerancia-alta,T-B-75,75,17593,..\instances\tolerancia-alta\T-B-75.txt
tolerancia-alta,T-B-76,76,19224,..\instances\tolerancia-alta\T-B-76.txt
tolerancia-alta,T-B-77,77,19175,..\instances\tolerancia-alta\T-B-77.txt
tolerancia-alta,T-B-78,78,19504,..\instances\tolerancia-alta\T-B-78.txt
tolerancia-alta,T-B-79,79,18999,..\instances\tolerancia-alta\T-B-79.txt
tolerancia-alta,T-B-80,80,20101,..\instances\tolerancia-alta\T-B-80.txt
tolerancia-alta,T-B-81,81,20607,..\instances\tolerancia-alta\T-B-81.txt
