dataset,instancia,negocios,C,archivo
tolerancia-baja,T-B-1,1,613,..\instances\tolerancia-baja\T-B-1.txt
tolerancia-baja,T-B-2,2,305,..\instances\tolerancia-baja\T-B-2.txt
tolerancia-baja,T-B-3,3,481,..\instances\tolerancia-baja\T-B-3.txt
tolerancia-baja,T-B-4,4,494,..\instances\tolerancia-baja\T-B-4.txt
tolerancia-baja,T-B-5,5,540,..\instances\tolerancia-baja\T-B-5.txt
tolerancia-baja,T-B-6,6,549,..\instances\tolerancia-baja\T-B-6.txt
tolerancia-baja,T-B-7,7,539,..\instances\tolerancia-baja\T-B-7.txt
tolerancia-baja,T-B-8,8,399,..\instances\tolerancia-baja\T-B-8.txt
tolerancia-baja,T-B-9,9,363,..\instances\tolerancia-baja\T-B-9.txt
tolerancia-baja,T-B-10,10,442,..\instances\tolerancia-baja\T-B-10.txt
tolerancia-baja,T-B-11,11,410,..\instances\tolerancia-baja\T-B-11.txt
tolerancia-baja,T-B-12,12,488,..\instances\tolerancia-baja\T-B-12.txt
tolerancia-baja,T-B-13,13,479,..\instances\tolerancia-baja\T-B-13.txt
tolerancia-baja,T-B-14,14,530,..\instances\tolerancia-baja\T-B-14.txt
tolerancia-baja,T-B-15,15,475,..\instances\tolerancia-baja\T-B-15.txt
tolerancia-baja,T-B-16,16,477,..\instances\tolerancia-baja\T-B-16.txt
tolerancia-baja,T-B-17,17,515,..\instances\tolerancia-baja\T-B-17.txt
tolerancia-baja,T-B-18,18,469,..\instances\tolerancia-baja\T-B-18.txt
tolerancia-baja,T-B-19,19,590,..\instances\tolerancia-baja\T-B-19.txt
tolerancia-baja,T-B-20,20,488,..\instances\tolerancia-baja\T-B-20.txt
tolerancia-baja,T-B-21,21,524,..\instances\tolerancia-baja\T-B-21.txt
tolerancia-baja,T-B-22,22,512,..\instances\tolerancia-baja\T-B-22.txt
tolerancia-baja,T-B-23,23,510,..\instances\tolerancia-baja\T-B-23.txt
tolerancia-baja,T-B-24,24,461,..\instances\tolerancia-baja\T-B-24.txt
tolerancia-baja,T-B-25,25,489,..\instances\tolerancia-baja\T-B-25.txt
tolerancia-baja,T-B-26,26,510,..\instances\tolerancia-baja\T-B-26.txt
tolerancia-baja,T-B-27,27,546,..\instances\tolerancia-baja\T-B-27.txt
tolerancia-baja,T-B-28,28,538,..\instances\tolerancia-baja\T-B-28.txt
tolerancia-baja,T-B-29,29,462,..\instances\tolerancia-baja\T-B-29.txt
tolerancia-baja,T-B-30,30,466,..\instances\tolerancia-baja\T-B-30.txt
tolerancia-baja,T-B-31,31,537,..\instances\tolerancia-baja\T-B-31.txt
tolerancia-baja,T-B-32,32,447,..\instances\tolerancia-baja\T-B-32.txt
tolerancia-baja,T-B-33,33,517,..\instances\tolerancia-baja\T-B-33.txt
tolerancia-baja,T-B-34,34,502,..\instances\tolerancia-baja\T-B-34.txt
tolerancia-baja,T-B-35,35,533,..\instances\tolerancia-baja\T-B-35.txt
tolerancia-baja,T-B-36,36,564,..\instances\tolerancia-baja\T-B-36.txt
tolerancia-baja,T-B-37,37,588,..\instances\tolerancia-baja\T-B-37.txt
tolerancia-baja,T-B-38,38,553,..\instances\tolerancia-baja\T-B-38.txt
tolerancia-baja,T-B-39,39,572,..\instances\tolerancia-baja\T-B-39.txt
tolerancia-baja,T-B-40,40,530,..\instances\tolerancia-baja\T-B-40.txt
tolerancia-baja,T-B-41,41,461,..\instances\tolerancia-baja\T-B-41.txt
tolerancia-baja,T-B-42,42,428,..\instances\tolerancia-baja\T-B-42.txt
tolerancia-baja,T-B-43,43,504,..\instances\tolerancia-baja\T-B-43.txt
tolerancia-baja,T-B-44,44,503,..\instances\tolerancia-baja\T-B-44.txt
tolerancia-baja,T-B-45,45,518,..\instances\tolerancia-baja\T-B-45.txt
tolerancia-baja,T-B-46,46,509,..\instances\tolerancia-baja\T-B-46.txt
tolerancia-baja,T-B-47,47,511,..\instances\tolerancia-baja\T-B-47.txt
tolerancia-baja,T-B-48,48,478,..\instances\tolerancia-baja\T-B-48.txt
tolerancia-baja,T-B-49,49,476,..\instances\tolerancia-baja\T-B-49.txt
tolerancia-baja,T-B-50,50,494,..\instances\tolerancia-baja\T-B-50.txt
tolerancia-baja,T-B-51,51,490,..\instances\tolerancia-baja\T-B-51.txt
tolerancia-baja,T-B-52,52,493,..\instances\tolerancia-baja\T-B-52.txt
tolerancia-baja,T-B-53,53,516,..\instances\tolerancia-baja\T-B-53.txt
tolerancia-baja,T-B-54,54,475,..\instances\tolerancia-baja\T-B-54.txt
tolerancia-baja,T-B-55,55,516,..\instances\tolerancia-baja\T-B-55.txt
tolerancia-baja,T-B-56,56,530,..\instances\tolerancia-baja\T-B-56.txt
tolerancia-baja,T-B-57,57,521,..\instances\tolerancia-baja\T-B-57.txt
tolerancia-baja,T-B-58,58,453,..\instances\tolerancia-baja\T-B-58.txt
tolerancia-baja,T-B-59,59,531,..\instances\tolerancia-baja\T-B-59.txt
tolerancia-baja,T-B-60,60,466,..\instances\tolerancia-baja\T-B-60.txt
tolerancia-baja,T-B-61,61,506,..\instances\tolerancia-baja\T-B-61.txt
tolerancia-baja,T-B-62,62,485,..\instances\tolerancia-baja\T-B-62.txt
tolerancia-baja,T-B-63,63,486,..\instances\tolerancia-baja\T-B-63.txt
tolerancia-baja,T-B-64,64,487,..\instances\tolerancia-baja\T-B-64.txt
tolerancia-baja,T-B-65,65,506,..\instances\tolerancia-baja\T-B-65.txt
tolerancia-baja,T-B-66,66,456,..\instances\tolerancia-baja\T-B-66.txt
tolerancia-baja,T-B-67,67,482,..\instances\tolerancia-baja\T-B-67.txt
tolerancia-baja,T-B-68,68,502,..\instances\tolerancia-baja\T-B-68.txt
tolerancia-baja,T-B-69,69,492,..\instances\tolerancia-baja\T-B-69.txt
tolerancia-baja,T-B-70,70,506,..\instances\tolerancia-baja\T-B-70.txt
tolerancia-baja,T-B-71,71,537,..\instances\tolerancia-baja\T-B-71.txt
tolerancia-baja,T-B-72,72,510,..\instances\tolerancia-baja\T-B-72.txt
tolerancia-baja,T-B-73,73,481,..\instances\tolerancia-baja\T-B-73.txt
tolerancia-baja,T-B-74,74,531,..\instances\tolerancia-baja\T-B-74.txt
tolerancia-baja,T-B-75,75,496,..\instances\tolerancia-baja\T-B-75.txt
